Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          551
Airmass,   W_CH4,  W_NH3
      2.14841      2.27774     0.666514
      2.15804      2.25292     0.627222
      2.16809      2.17841     0.649138
      2.17856      2.16884     0.576223
      2.18948      2.16994     0.564795
      2.20087      2.15236     0.564280
      2.21273      2.09355     0.552338
      2.22509      2.14419     0.553319
      2.05541      2.44211     0.623993
      2.06056      2.25230     0.614184
      2.06601      2.27918     0.638101
      2.07176      2.30563     0.629479
      2.07783      2.35242     0.650943
      2.08421      2.42825     0.710688
      2.09091      2.52440     0.701499
      2.09795      2.46247     0.769914
      2.10533      2.54601     0.794680
      2.11305      2.59214     0.753776
      2.12114      2.51455     0.766846
      2.12959      2.45473     0.804306
      2.13842      2.43856     0.739002
      2.14765      2.40361     0.714120
      2.15728      2.35668     0.707590
      2.16732      2.33322     0.694301
      2.03346      2.30156     0.589901
      2.03720      2.29415     0.567345
      2.04121      2.29372     0.575244
      2.04550      2.24889     0.654525
      2.05007      2.25956     0.616042
      2.05494      2.23060     0.676851
      2.06009      2.31201     0.623431
      2.06554      2.33541     0.655664
      2.07130      2.34832     0.681555
      2.07737      2.37741     0.681941
      2.08375      2.38930     0.703565
      2.09046      2.43054     0.728321
      2.09750      2.47867     0.783888
      2.10488      2.49504     0.808786
      2.11261      2.47184     0.778152
      2.12070      2.45089     0.778624
      2.01854      2.19019     0.534008
      2.02096      2.26470     0.576044
      2.02364      2.31007     0.602341
      2.02658      2.30078     0.578101
      2.02978      2.26523     0.616558
      2.03325      2.27292     0.623744
      2.03699      2.29078     0.609533
      2.04101      2.32419     0.615732
      2.04531      2.29814     0.686948
      2.04989      2.29849     0.698178
      2.05475      2.33733     0.663119
      2.05991      2.32741     0.684193
      2.06537      2.32240     0.704131
      2.07113      2.32808     0.739308
      2.07721      2.34084     0.713903
      2.08360      2.32838     0.698843
      2.01032      2.20808     0.477841
      2.01146      2.21007     0.510245
      2.01286      2.25495     0.528735
      2.01452      2.24770     0.569307
      2.01642      2.35107     0.591988
      2.01859      2.32748     0.593177
      2.02101      2.31657     0.626297
      2.02369      2.32539     0.635584
      2.02664      2.37995     0.608413
      2.02985      2.33905     0.622218
      2.03333      2.32014     0.647527
      2.03708      2.29516     0.653097
      2.04110      2.31978     0.661475
      2.04540      2.33952     0.687075
      2.04999      2.33246     0.728162
      2.05487      2.35150     0.693401
      2.00865      2.13041     0.469145
      2.00853      2.09754     0.476102
      2.00867      2.11549     0.477030
      2.00907      2.22179     0.489335
